frame_idx,theta_rad,omega_rad_s
21,0.9428406012659004,0.0
22,0.9428406012659004,0.0
24,0.28280412941758254,0.0
25,0.28280412941758254,0.0
26,0.40402629319310224,0.0
28,1.1440270793792588,0.0
29,1.1440270793792588,0.0
30,1.119703457813966,0.0
31,1.119703457813966,0.0
32,1.119703457813966,0.0
33,1.119703457813966,0.0
37,1.2636467359477346,0.0
38,1.42641670433283,0.0
39,1.2636467359477346,0.0
40,1.2636467359477346,0.0
41,1.079372099150735,0.0
45,1.079372099150735,0.0
47,1.3862754687800622,0.0
48,1.3862754687800622,0.0
49,1.294171284149124,0.0
50,1.197031690815291,0.0
51,1.197031690815291,-22.105004311425187
