group,shot,m_per_px,impact_frame,vx_in_mps,vy_in_mps,speed_in_mps,elev_in_deg,vx_out_mps,vy_out_mps,speed_out_mps,elev_out_deg,spin_in_rad_s,spin_out_rad_s
Shallow,shallow1_centers,0.0005661216530461,17,-3.1633454578361424,-2.203467131446989,3.8551292954944816,-145.14038583741245,-1.8701657132093847,5.398377077881673,5.713142293857404,109.10767652993675,0.0,0.0
Shallow,shallow2_centers,0.0005423926382798,11,-4.62898291844136,-6.414946628127858,7.910690431368861,-125.81396634121032,-2.351784665469304,5.575810923280657,6.051492259345,112.86921124532924,,0.0
Shallow,shallow4_centers,0.0005453959186595,9,-5.6658981938662825,-8.944381852041651,10.587935070559755,-122.3525775828082,-1.3297202512898698,5.405297534310709,5.566452854477061,103.82051002127014,,1.669750221448627
Shallow,shallow5_centers,0.000562724973602,13,-5.916775901635588,-0.8613270423569511,5.979140518843072,-171.71742090109103,3.1519728755435383,-5.831246179977806,6.628602041129635,-61.607376641877565,,
Oblique,oblique1_centers,0.0005585457668379,11,-8.123265114527007,-4.56337378502076,9.31728589358007,-150.67420533787129,1.0218216554860389,-0.2059534421477477,1.0423705271892212,-11.395584620084303,1.176337782156569,0.0
Oblique,oblique3_centers,0.000562724973602,13,-0.924683186204796,-3.550649051050536,3.6690799498751625,-104.59710437650152,1.815569415739564,-3.215221233279532,3.692416536944397,-60.54747478412348,-8.27564045827296,
Oblique,oblique4_centers,0.000562724973602,7,4.87391009443697,-34.85993676468578,35.1990083787391,-82.04083735731719,-1.1049721977344036,-0.9346087939867193,1.4472239479649676,-139.77475395238395,,
Oblique,oblique5_centers,0.0005395411508492,13,-10.17179747931288,-6.278033451670673,11.953207434845757,-148.31711514474762,-4.679124802331417,3.9938870642012976,6.151856857680247,139.51744359226484,0.0,14.836229439570255
Pocket,pocket1_centers,0.000562724973602,4,-0.0260235619371044,0.2030943536305699,0.2047548345033965,97.30182500129015,2.0143164342974,0.0252177130793934,2.014474281427674,0.7172622064226798,,0.0
Pocket,pocket2_centers,0.000562724973602,2,-24.7362033712268,-21.1823578692664,32.56642507436707,-139.4255578060127,-0.5821799121084656,0.9213506958581924,1.0898718065997468,122.28783245824488,,
Pocket,pocket3_centers,0.0008190854432731,20,-2.601138270516301,-3.992220013624248,4.764844272326906,-123.08632835306038,-0.8708062224599977,3.3887852804719367,3.4988811289065413,104.41132550650876,,0.0
Pocket,pocket4_centers,0.000562724973602,23,0.7089721238767934,0.4879602854798393,0.8606664351767981,34.53825310106783,0.1318063622796516,-0.090620470160417,0.1599530767115463,-34.509584463903444,2.642252876637912,2.642252876637912
Pocket,pocket5_centers,0.0006837587471412,30,-1.751339634897784,-2.718766975761872,3.2340198492367445,-122.7882931631357,-1.7033567863833416,1.0983678700476762,2.026779790621382,147.18504568364295,0.0,0.0
